"index","language_id","language"
"277","278","Gagauzi"
"278","279","Malagasy"
"279","280","Dhivehi"
"280","281","Mixtec"
"281","282","Náhuatl"
"282","283","Otomí"
"283","284","Yucatec"
"284","285","Zapotec"
"285","286","Marshallese"
"286","287","Bambara"
"287","288","Senufo and Minianka"
"288","289","Songhai"
"289","290","Tamashek"
"290","291","Maltese"
"291","292","Burmese"
"292","293","Chin"
"293","294","Kachin"
"294","295","Karen"
"295","296","Kayah"
"296","297","Mon"
"297","298","Rakhine"
"298","299","Shan"
"299","300","Bajad"
"300","301","Buryat"
"301","302","Dariganga"
"302","303","Dorbet"
"303","304","Carolinian"
"304","305","Chuabo"
"305","306","Lomwe"
"306","307","Makua"
"307","308","Marendje"
"308","309","Nyanja"
"309","310","Ronga"
"310","311","Sena"
"311","312","Tsonga"
"312","313","Tswa"
"313","314","Hassaniya"
"314","315","Tukulor"
"315","316","Zenaga"
"316","317","Bhojpuri"
"317","318","Chichewa"
"318","319","Ngoni"
"319","320","Yao"
"320","321","Dusun"
"321","322","Iban"
"322","323","Mahoré"
"323","324","Afrikaans"
"324","325","Caprivi"
"325","326","Herero"
"326","327","Kavango"
"327","328","Nama"
"328","329","Ovambo"
"329","330","Malenasian Languages"
"330","331","Polynesian Languages"
"331","332","Hausa"
"332","333","Kanuri"
"333","334","Songhai-zerma"
"334","335","Bura"
"335","336","Edo"
"336","337","Ibibio"
"337","338","Ibo"
"338","339","Ijo"
"339","340","Tiv"
"340","341","Sumo"
"341","342","Niue"
"342","343","Fries"
"343","344","Maithili"
"344","345","Newari"
"345","346","Tamang"
"346","347","Tharu"
"347","348","Nauru"
"348","349","Brahui"
"349","350","Hindko"
"350","351","Saraiki"
"351","352","Sindhi"
"352","353","Cuna"
"353","354","Embera"
"354","355","Guaymí"
"355","356","Pitcairnese"
"356","357","Bicol"
"357","358","Cebuano"
"358","359","Hiligaynon"
"359","360","Ilocano"
"360","361","Maguindanao"
"361","362","Maranao"
"362","363","Pampango"
"363","364","Pangasinan"
"364","365","Pilipino"
"365","366","Waray-waray"
"366","367","Palau"
"367","368","Papuan Languages"
"368","369","Tahitian"
"369","370","Avarian"
"370","371","Bashkir"
"371","372","Chechen"
"372","373","Chuvash"
"373","374","Mari"
"374","375","Mordva"
"375","376","Udmur"
"376","377","Bari"
"377","378","Beja"
"378","379","Chilluk"
"379","380","Dinka"
"380","381","Fur"
"381","382","Lotuko"
"382","383","Nubian Languages"
"383","384","Nuer"
"384","385","Serer"
"385","386","Bullom-sherbro"
"386","387","Kono-vai"
"387","388","Kuranko"
"388","389","Limba"
"389","390","Mende"
"390","391","Temne"
"391","392","Nahua"
"392","393","Sranantonga"
"393","394","Czech and Moravian"
"394","395","Ukrainian and Russian"
"395","396","Swazi"
"396","397","Seselwa"
"397","398","Gorane"
"398","399","Hadjarai"
"399","400","Kanem-bornu"
"400","401","Mayo-kebbi"
"401","402","Ouaddai"
"402","403","Tandjile"
"403","404","Ane"
"404","405","Kabyé"
"405","406","Kotokoli"
"406","407","Moba"
"407","408","Naudemba"
"408","409","Watyi"
"409","410","Kuy"
"410","411","Tokelau"
"411","412","Arabic-French"
"412","413","Arabic-French-English"
"413","414","Ami"
"414","415","Atayal"
"415","416","Min"
"416","417","Paiwan"
"417","418","Chaga and Pare"
"418","419","Gogo"
"419","420","Ha"
"420","421","Haya"
"421","422","Hehet"
"422","423","Luguru"
"423","424","Makonde"
"424","425","Nyakusa"
"425","426","Nyamwesi"
"426","427","Shambala"
"427","428","Acholi"
"428","429","Ganda"
"429","430","Gisu"
"430","431","Kiga"
"431","432","Lango"
"432","433","Lugbara"
"433","434","Nkole"
"434","435","Soga"
"435","436","Teso"
"436","437","Tagalog"
"437","438","Karakalpak"
"438","439","Goajiro"
"439","440","Warrau"
"440","441","Man"
"441","442","Muong"
"442","443","Nung"
"443","444","Tho"
"444","445","Bislama"
"445","446","Futuna"
"446","447","Wallis"
"447","448","Samoan-English"
"448","449","Soqutri"
"449","450","Northsotho"
"450","451","Southsotho"
"451","452","Venda"
"452","453","Xhosa"
"453","454","Bemba"
"454","455","Chewa"
"455","456","Lozi"
"456","457","Nsenga"
